index:ID,director,:LABEL
12906630,安格斯·麦克莱恩,person
10365970,乔·丹特,person
13459040,郑允秀,person
13230030,康宁,person
10366620,彼得·法雷里,person
13604840,德米特里·基谢廖夫,person
13191840,高峰,person
11287210,吉娜·普林斯-拜斯伍德,person
12764590,罗伊·雷内,person
13982390,玛德琳·帕里,person
12750540,詹姆斯·格雷,person
12754330,刘健,person
10480260,周星驰,person
13158410,唐大年,person
10141530,詹姆斯·弗雷,person
10414090,吉尔·约格尔,person
13193340,厄尼·巴巴拉什,person
12824550,马克·汀戴尔,person
14452070,尹丹菲,person
13040470,孙在坤,person
13101070,鲍勃·佩尔西凯蒂,person
13505680,金帝荣,person
13351860,李光耀,person
12742400,郑保瑞,person
13318960,高桥敦史,person
13275800,霍华德·麦凯恩,person
13697220,法比奥·瑞希纳洛,person
10232670,亚伯·福赛斯,person
14379450,赵一亨,person
10922080,本多猪四郎 ,person
13165570,金志勋,person
12700440,博·伯翰,person
12807800,郑智泳,person
13268180,柯克·德·米科,person
13280480,向飞,person
13903260,蔡宓洁,person
10322410,克里斯·桑德斯,person
13336610,徐晓星,person
13233970,梁婷,person
13287560,约翰·卢森霍普,person
13270320,坦瓦林·苏卡皮西特,person
10273400,迈克尔·克莱顿,person
13191210,曾翠珊,person
13520110,邢丹,person
12147050,佐米·希尔拉,person
13201900,李骏,person
10763540,塔伊加·维迪提,person
14277600,张哲,person
10535570,劳伦斯·奥利弗,person
12913600,马克思·梅尔,person
13148260,梁家树,person
13533950,迈克尔·格兰达吉,person
13464520,韩相熙,person
10411600,盖瑞·马歇尔,person
11374250,本广克行,person
10502790,罗伯特·帕西尼,person
10278700,潘妮·马歇尔,person
13157600,尼尔·约翰逊,person
13152160,布莱恩·G·赫顿,person
10050600,伊斯特凡·萨博,person
11355930,大卫·普瑞尔,person
12851840,菲奥娜·戈登,person
13719030,塞巴斯蒂安·劳德巴克,person
10251850,阿尔弗雷德·希区柯克,person
12805910,亚罗·切尼,person
13605740,阿里尔·舒曼,person
10047210,斯蒂夫·平克,person
13144730,刘劲,person
13558270,沙昆·巴特拉,person
13206260,刘可欣,person
13537180,张宰贤,person
10098040,理查德·富兰克林,person
10318760,吕克·贝松,person
13963990,阿迪尔·埃尔·阿比,person
10107870,阿萨夫·伯恩斯坦,person
10758620,陈国富,person
10139170,约翰·拉塞特,person
13631490,出合小都美,person
10097050,科斯汀·谢里丹,person
10908950,降旗康男,person
13071410,张鹏,person
13978180,辛爽,person
13602970,雷米·沙耶,person
10003870,丹尼尔·斯坦,person
13743040,金惠荣,person
12767060,桑托什·斯万,person
13139180,韦正,person
14178290,林晓丽,person
14419910,许悦铭,person
10413780,克里·孔兰,person
13542480,威廉·布伦特·贝尔,person
10931770,哈密什·汉密尔顿,person
13370950,城宝秀则,person
12804610,张振益,person
13178030,姚守岗,person
11603010,罗伯特·斯蒂文森,person
12987620,司徒慧焯,person
14241940,孙元平,person
10049610,米兰达·裘丽,person
10182710,亚历山大·索科洛夫,person
10052280,迈克尔·苏克西,person
13557760,王早,person
13219640,杨磊,person
10536190,皮埃尔·保罗·帕索里尼,person
13545260,英达尔·珍杜巴耶夫,person
10230900,何塞·帕迪里亚,person
13060940,颂裕·素玛戈南,person
10544360,克林特·伊斯特伍德,person
13092440,斯蒂芬·圣·莱杰,person
10094690,阿贝尔·费拉拉,person
10146060,卡里姆·埃诺兹,person
13429270,唐旭,person
10147440,乔·曼特罗,person
12885110,比班·基德龙,person
11042600,林权泽,person
13785600,奚超,person
10190710,大卫·凯普,person
10510620,罗阿尔·乌索格,person
10027080,安迪·瑟金斯,person
14125980,徐发,person
11856540,韦恩·罗伯茨,person
12747500,张镇,person
12743290,努里·比格·锡兰,person
13327390,熊坂出,person
10367490,阿兰·夏巴,person
14145300,路西安诺·欧纳提,person
13265010,帕特里克·福斯贝里,person
13688800,弗朗西斯·李,person
10448720,韦斯·安德森,person
13699480,布兰登·坎普,person
13361980,八木龙一,person
13005870,魏德圣,person
10414290,科林·施特劳斯,person
13365080,阿尔玛·哈勒,person
13461980,孔水昌,person
10035860,理查德·罗森,person
10137780,文森佐·纳塔利,person
13541360,沙漠,person
10195290,格利高利·丘赫莱依,person
13658920,藤森雅也,person
10417170,胡安·索拉纳斯,person
11135300,米克·杰克逊,person
14443420,牧田佳织,person
13186250,鲍积明,person
14589950,孙勇,person
14261110,迈克·艾亨,person
13162320,光野道夫,person
10227100,乔·德特杜巴,person
13174940,卢卫国,person
10097040,卡洛斯·沙尔丹哈,person
14088950,尼克·布鲁诺,person
12828440,伊兰·迪朗·科昂,person
10140300,沃尔特·希尔,person
12758770,张子恩,person
10095960,乔纳森·戴顿,person
13150460,张翀,person
13657520,尼克·马蒂厄,person
10324730,刘易斯·吉尔伯特,person
10376790,田口智朗,person
13851810,李炜,person
13166460,徐誉庭,person
10190020,蒂姆·波顿,person
13821730,陈小娟,person
10323770,斯科特·希克斯,person
13418690,马赛厄斯·马尔修,person
13172210,周耀武,person
10545260,英格玛·伯格曼,person
10310070,崔嵬,person
10366550,亨利·塞利克,person
13210950,樱井弘明,person
13190860,魏楠,person
12878020,迈克·约翰逊,person
11165250,舛田利雄,person
13065070,刘勇宏,person
13987570,张璞,person
13384560,金丰起,person
12857990,唐·哈恩,person
13019260,肖桂云,person
10281620,乔治·拉提夫,person
10140690,托德·海因斯,person
13020090,肖娜·奥尔巴赫,person
13209160,赵宇,person
12786570,元彬,person
14372030,达米安·莱韦克,person
13253210,丁小洋,person
10272760,罗伯·马歇尔,person
10413130,迈克尔·道赫蒂,person
13209910,陈卓,person
14118010,李钟言,person
13174780,常征,person
13156930,蔡尚君,person
13427430,约翰·波罗,person
13600440,立川让,person
13458630,申汉率,person
13899290,姜瑞智,person
13335950,刘健平,person
10145910,杰西卡·尼尔森,person
13704250,阿德里安·莫利纳,person
12751740,刘奋斗,person
14559260,迈克·本恩斯,person
10168890,让·德拉努瓦,person
13550080,郑潇,person
10288440,李濬益,person
12915970,汤姆·麦格拉思,person
13974480,竹内良贵,person
10372730,张家辉,person
10151150,张国立,person
13151850,王啸坤,person
13726100,陈健朗,person
13840790,史蒂夫·伦纳德,person
12807190,赵崇邦,person
10614420,沃尔夫冈·贝克,person
13326650,白石和弥,person
12871830,欧文·赫利,person
13652960,韩琰,person
10125530,伊娃·爱洛尼斯科,person
13165730,吴娜,person
13036810,汤姆·摩尔,person
13045510,李子俊,person
13735170,杨永春,person
13640280,石川庆,person
12998420,菲力斯·范·古宁根,person
10157710,大地丙太郎,person
13483210,杰里米·德格鲁森,person
13132820,陈奕利,person
12814880,Lodewijk Crijns,person
10369710,卡莉·克里,person
13201380,区雪儿,person
14475050,陈伟,person
10482250,弗兰克·卡普拉,person
13745650,代艺霖,person
13764190,周子阳,person
10496860,丹尼斯·杜根,person
14069400,安正民,person
13186460,王秉林 ,person
12742360,秦小珍,person
13175480,渡边步,person
12963280,比约恩·荣格,person
12744040,李廷香,person
13165870,陈怀皑,person
12635830,金曲,person
13209460,江约诚,person
11114920,马克·劳伦斯,person
10071400,恩斯特·刘别谦,person
10544270,达斯汀·霍夫曼,person
10320480,保罗·哈吉斯,person
13155210,安迪·坦纳特,person
10063510,霍建起,person
10503310,史蒂文·R·蒙若尔,person
13172680,金韩民,person
13161420,李亨民,person
12744700,小池健,person
13887590,李海龙,person
11725180,大卫·莫罗,person
14121330,鲁冬青,person
13512890,亚历山德罗·卡罗尼,person
13176040,寒竹百合,person
13367290,黄朝亮,person
13566380,弗兰克·叶根吉,person
10298660,许泰丰,person
10180560,尼尔·马歇尔,person
13225250,王莉,person
14308710,胡国瀚,person
13767640,罗布·萨维奇,person
10229590,押井守,person
10092930,约翰·弗朗西斯·戴利,person
13222000,金大胜,person
11105850,近藤喜文,person
10181310,博比·法雷里,person
13240370,瑞奇·摩尔,person
12368190,连姆·O·达诺,person
13336720,尼亚达·苏达娜,person
10254110,杰拉德·达米亚诺,person
13391270,托马斯·绍博,person
10320270,尼尔·乔丹,person
10271590,山姆·雷米,person
13946650,甘·方苏旺,person
13192740,宋崇,person
10097480,沃夫冈·雷瑟曼,person
10413150,帕特里斯·夏侯,person
10096820,皮托夫,person
12750940,阿斯哈·法哈蒂,person
10512580,瓦季姆·舒梅列夫,person
13417540,田蒙,person
13825690,伊萨克·厄兹本,person
10425230,富野由悠季,person
13189850,许传海,person
11523900,理查德·斯坦利,person
13669070,涅提·蒂瓦里,person
13209570,刘宝贤,person
13198650,贝赫·泽特林,person
13341240,加斯顿·杜帕拉特,person
13157540,柳泽哲也,person
12928600,杰弗利·纳赫马诺夫,person
13109650,邱瓈宽,person
14227710,郑霆黎明,person
10005740,弗莱德·戴克尔,person
10052290,敕使河原宏,person
13113130,林浩然,person
14261120,恩达·罗曼,person
10046570,约翰·休斯,person
10110170,阿德里安·诺布尔,person
13265110,任鹏远,person
13585850,岸善幸,person
10500880,伯努瓦·波尔沃德,person
10507820,托尼·裴,person
10545240,克里斯托弗·诺兰,person
13271960,李爽,person
13126500,史蒂夫·麦奎因,person
10029140,艾伦·德万,person
10470720,马切伊·佩普日察,person
12750390,马基德·马基迪,person
11378790,坂本浩一,person
10234640,曼斯·马林德,person
12743680,伍仕贤,person
13094350,泷本智行,person
10100970,雅各布·蔡斯,person
13027440,扎伊达·贝葛洛特,person
13199890,朴勋政,person
13086470,关口现,person
13210200,高松信司,person
13354510,李理,person
10500820,大卫·R·艾里斯,person
13944300,金度英,person
14254760,尼吉娜·赛福莱娃,person
10500890,沃尔特·拜克,person
10363510,贾德·阿帕图,person
13137360,吴中天,person
13276250,马修·迈克尔·卡纳汉,person
13822460,克里斯·佩寇维,person
10227410,道格·里曼,person
10411230,塞思·麦克法兰,person
13498550,刘炜,person
13253420,贾斯汀·库泽尔,person
13380480,陈千松,person
10106620,阿托姆·伊戈扬,person
13090040,拉斯洛·奈迈施,person
12825510,安德鲁·多米尼克,person
10001700,理查德·凯利,person
13212000,路阳,person
10416450,乔·皮特卡,person
10004990,伊莎贝尔·科赛特,person
12844880,山姆·贾巴尔斯基,person
10072450,陈欣健,person
12750360,陈鸿烈,person
13720840,吴兆麟,person
13247560,蔡心,person
10193910,艾斯彭·山德伯格,person
10061980,塞缪尔·阿姆斯特朗,person
13094590,韩在林,person
13255680,朴光铉,person
13240500,朱利安·麦格奈,person
12806320,钟少雄,person
14062620,刘亚当,person
13131020,沙蒙,person
13169120,唐澄,person
13739270,谈宜之,person
14507650,萨拉雷,person
13340920,佩德罗·里韦罗,person
13214450,猪股隆一,person
13435080,吉村爱,person
12775540,菲利普·G·阿特威尔,person
11120260,阿基·考里斯马基,person
10137050,姜大卫,person
10199460,多罗塔·肯杰扎夫斯卡,person
13142780,马库斯·邓斯坦,person
12900660,林诣彬,person
10185960,简·皮克瓦,person
13724530,月川翔,person
13262730,鴫野彰,person
13532990,S·克雷格·扎勒,person
12947190,维苏特·普沃莱拉克斯,person
14075210,克里斯托夫·查理尔,person
10502080,乔·斯万博格,person
14570700,益子昌一,person
13232660,尼西卡特·卡马特,person
14197170,吴健海,person
13041830,瓦迪姆·佩尔曼,person
13147300,乔梁,person
13688000,基姆·德鲁日宁,person
14316970,柴田彰久,person
13385410,程中豪,person
14024830,李权,person
13187450,陆剑青,person
13195660,李石勋,person
12717830,图鲁普·范·奥尔曼,person
13891240,陈歆宇,person
13230780,张荣吉,person
13305340,朱家麟,person
13150380,郑有杰,person
14060210,温仕培,person
12804420,陈国辉,person
13860580,尼科莱·弗格西格,person
14460090,伊曼纽·奥塞·库佛,person
14399400,米昊易,person
13932040,马逸腾,person
13501070,安国真,person
12924120,尼克·摩尔,person
10280570,阿莫斯·吉泰,person
13375400,饭岛敏宏,person
10229000,布兰农·布拉加,person
10364780,约翰·卡萨维蒂,person
10028590,若西安·巴拉斯科,person
13801530,姜允成,person
13407170,陈立谦,person
10279580,维克·阿姆斯特朗,person
12757160,李大为,person
10103140,达米安·斯兹弗隆,person
10006390,瑞恩·雷特尔,person
13716530,王学博,person
10081600,戴维·汉德,person
10479800,特瑞·吉列姆,person
10235550,许秦豪,person
13155460,河野圭太,person
10095850,佐伊·R·卡萨维蒂,person
10536170,罗伯特·雷德福,person
13091000,西蒙·布兰德,person
13261470,叶凯,person
10321080,迈克·李,person
10421580,埃里克·莱顿,person
12985540,埃尔伯特·范·斯特里恩,person
13271320,天野千寻,person
13057960,特拉维斯·奈特,person
10000980,文森特·加洛,person
14310910,青木康直,person
12757100,陈怀恩,person
14368680,萨瓦斯·泽维斯,person
12843750,迈克·加布里尔,person
10028450,马克·雷戴尔,person
12760770,郑芬芬,person
10554890,让-吕克·戈达尔,person
